315758	261664	54094	47351	5584	12415	-6831	1159
259168	210296	48872	42964	5199	8122	-2923	709
172625	132698	39927	35315	4053	5515	-1462	559
140897	96361	44536	39372	4584	5451	-867	580
4591491	2617599	1973892	1534137	355250	326081	29169	84505
358689	182744	175945	136432	32441	23278	9163	7072
375047	233427	141620	111050	24750	19464	5286	5820
369222	227143	142079	107024	26277	25499	778	8778
324188	83587	240601	177369	49195	53767	-4572	14037
318179	55438	262741	191546	56768	43768	13000	14427
352853	114023	238830	182664	44907	34150	10757	11259
416907	212282	204625	161003	35655	30388	5267	7967
414403	262566	151837	120276	26447	23299	3148	5114
365045	260313	104732	83723	17726	17461	265	3283
299837	222368	77469	62425	12959	14434	-1475	2085
225799	174080	51719	42668	7798	10799	-3001	1253
177907	139044	38863	32278	5404	8714	-3310	1181
153447	123258	30189	25675	3706	7657	-3951	808
143391	115539	27852	24591	2861	5017	-2156	400
122173	94688	27485	24434	2722	3828	-1106	329
88922	64899	24023	21212	2488	2208	280	323
85482	52200	33282	29767	3146	2350	796	369
2641453	1544846	1096607	844550	226788	199858	26930	25269
218350	105634	112716	88955	21638	18551	3087	2123
219488	126936	92552	73630	17573	15263	2310	1349
228703	134670	94033	72830	18610	14259	4351	2593
217395	80501	136894	106081	26431	27058	-627	4382
189837	60828	129009	100453	24846	31279	-6433	3710
185465	78235	107230	81733	22574	23105	-531	2923
218017	116114	101903	76464	22992	19262	3730	2447
217046	134707	82339	62661	17803	14180	3623	1875
192028	129058	62970	48124	13700	9678	4022	1146
166251	118394	47857	35416	11743	7598	4145	698
131603	98206	33397	24478	8406	5091	3315	513
112982	87608	25374	18039	7035	3530	3505	300
99788	79745	20043	14558	5165	2915	2250	320
88722	72511	16211	12711	3292	2155	1137	208
66960	54695	12265	9977	2024	2253	-229	264
45722	36416	9306	7637	1514	1569	-55	155
43096	30588	12508	10803	1442	2112	-670	263
5226022	2803368	2422654	1881922	473369	427316	46053	67363
398273	171881	226392	179406	41586	34576	7010	5400
413358	219944	193414	153308	35299	28520	6779	4807
407014	218789	188225	145095	36273	31430	4843	6857
372471	98606	273865	206991	56484	55075	1409	10390
